timestamp,merit-nt,bgp,ping-slash24,datetime,DATETIME,LABEL
1698333900,0.4,560,35.0,2023-10-26 15:25:00+00:00,2023-10-26 15:25:00+00:00,0
1698334200,0.0,560,34.0,2023-10-26 15:30:00+00:00,2023-10-26 15:30:00+00:00,0
1698334500,0.2,560,34.0,2023-10-26 15:35:00+00:00,2023-10-26 15:35:00+00:00,0
1698334800,0.2,560,39.0,2023-10-26 15:40:00+00:00,2023-10-26 15:40:00+00:00,0
1698335100,0.4,560,39.0,2023-10-26 15:45:00+00:00,2023-10-26 15:45:00+00:00,0
1698335400,0.0,560,41.0,2023-10-26 15:50:00+00:00,2023-10-26 15:50:00+00:00,0
1698335700,0.0,560,41.0,2023-10-26 15:55:00+00:00,2023-10-26 15:55:00+00:00,0
1698336000,0.4,560,35.0,2023-10-26 16:00:00+00:00,2023-10-26 16:00:00+00:00,0
1698336300,0.4,560,35.0,2023-10-26 16:05:00+00:00,2023-10-26 16:05:00+00:00,0
1698336600,0.2,560,36.0,2023-10-26 16:10:00+00:00,2023-10-26 16:10:00+00:00,0
1698336900,0.0,560,36.0,2023-10-26 16:15:00+00:00,2023-10-26 16:15:00+00:00,0
1698337200,0.0,560,36.0,2023-10-26 16:20:00+00:00,2023-10-26 16:20:00+00:00,0
1698337500,0.0,560,36.0,2023-10-26 16:25:00+00:00,2023-10-26 16:25:00+00:00,0
1698337800,0.4,560,37.0,2023-10-26 16:30:00+00:00,2023-10-26 16:30:00+00:00,0
1698338100,0.0,560,37.0,2023-10-26 16:35:00+00:00,2023-10-26 16:35:00+00:00,0
1698338400,0.2,560,33.0,2023-10-26 16:40:00+00:00,2023-10-26 16:40:00+00:00,0
1698338700,0.2,560,33.0,2023-10-26 16:45:00+00:00,2023-10-26 16:45:00+00:00,0
1698339000,0.2,560,34.0,2023-10-26 16:50:00+00:00,2023-10-26 16:50:00+00:00,0
1698339300,0.0,560,34.0,2023-10-26 16:55:00+00:00,2023-10-26 16:55:00+00:00,0
1698339600,0.25,560,34.0,2023-10-26 17:00:00+00:00,2023-10-26 17:00:00+00:00,0
1698339900,0.2,560,34.0,2023-10-26 17:05:00+00:00,2023-10-26 17:05:00+00:00,0
1698340200,0.0,560,32.0,2023-10-26 17:10:00+00:00,2023-10-26 17:10:00+00:00,0
1698340500,0.0,560,32.0,2023-10-26 17:15:00+00:00,2023-10-26 17:15:00+00:00,0
1698340800,0.4,560,35.0,2023-10-26 17:20:00+00:00,2023-10-26 17:20:00+00:00,0
1698341100,0.0,560,35.0,2023-10-26 17:25:00+00:00,2023-10-26 17:25:00+00:00,0
1698341400,0.0,560,31.0,2023-10-26 17:30:00+00:00,2023-10-26 17:30:00+00:00,0
1698341700,0.2,560,31.0,2023-10-26 17:35:00+00:00,2023-10-26 17:35:00+00:00,0
1698342000,0.4,560,27.0,2023-10-26 17:40:00+00:00,2023-10-26 17:40:00+00:00,0
1698342300,0.4,560,27.0,2023-10-26 17:45:00+00:00,2023-10-26 17:45:00+00:00,0
1698342600,0.6,560,31.0,2023-10-26 17:50:00+00:00,2023-10-26 17:50:00+00:00,0
1698342900,0.4,560,31.0,2023-10-26 17:55:00+00:00,2023-10-26 17:55:00+00:00,0
1698343200,0.5,560,31.0,2023-10-26 18:00:00+00:00,2023-10-26 18:00:00+00:00,0
1698343500,0.0,560,31.0,2023-10-26 18:05:00+00:00,2023-10-26 18:05:00+00:00,0
1698343800,0.0,560,32.0,2023-10-26 18:10:00+00:00,2023-10-26 18:10:00+00:00,0
1698344100,0.2,560,32.0,2023-10-26 18:15:00+00:00,2023-10-26 18:15:00+00:00,0
1698344400,0.0,560,36.0,2023-10-26 18:20:00+00:00,2023-10-26 18:20:00+00:00,0
1698344700,0.6,560,36.0,2023-10-26 18:25:00+00:00,2023-10-26 18:25:00+00:00,0
1698345000,0.2,560,39.0,2023-10-26 18:30:00+00:00,2023-10-26 18:30:00+00:00,0
1698345300,0.2,560,39.0,2023-10-26 18:35:00+00:00,2023-10-26 18:35:00+00:00,0
1698345600,0.0,560,34.0,2023-10-26 18:40:00+00:00,2023-10-26 18:40:00+00:00,0
1698345900,0.2,560,34.0,2023-10-26 18:45:00+00:00,2023-10-26 18:45:00+00:00,0
1698346200,0.8,560,35.0,2023-10-26 18:50:00+00:00,2023-10-26 18:50:00+00:00,0
1698346500,0.8,560,35.0,2023-10-26 18:55:00+00:00,2023-10-26 18:55:00+00:00,0
1698346800,,560,38.0,2023-10-26 19:00:00+00:00,2023-10-26 19:00:00+00:00,0
1698347100,0.5,560,38.0,2023-10-26 19:05:00+00:00,2023-10-26 19:05:00+00:00,0
1698347400,0.2,560,37.0,2023-10-26 19:10:00+00:00,2023-10-26 19:10:00+00:00,0
1698347700,0.2,560,37.0,2023-10-26 19:15:00+00:00,2023-10-26 19:15:00+00:00,0
1698348000,0.2,560,34.0,2023-10-26 19:20:00+00:00,2023-10-26 19:20:00+00:00,0
1698348300,0.0,560,34.0,2023-10-26 19:25:00+00:00,2023-10-26 19:25:00+00:00,0
1698348600,0.2,560,31.0,2023-10-26 19:30:00+00:00,2023-10-26 19:30:00+00:00,0
1698348900,0.0,560,31.0,2023-10-26 19:35:00+00:00,2023-10-26 19:35:00+00:00,0
1698349200,0.2,560,29.0,2023-10-26 19:40:00+00:00,2023-10-26 19:40:00+00:00,0
1698349500,0.2,560,29.0,2023-10-26 19:45:00+00:00,2023-10-26 19:45:00+00:00,0
1698349800,0.2,560,29.0,2023-10-26 19:50:00+00:00,2023-10-26 19:50:00+00:00,0
1698350100,0.2,560,29.0,2023-10-26 19:55:00+00:00,2023-10-26 19:55:00+00:00,0
1698350400,,560,29.0,2023-10-26 20:00:00+00:00,2023-10-26 20:00:00+00:00,0
1698350700,0.2,560,29.0,2023-10-26 20:05:00+00:00,2023-10-26 20:05:00+00:00,0
1698351000,0.2,560,34.0,2023-10-26 20:10:00+00:00,2023-10-26 20:10:00+00:00,0
1698351300,0.2,560,34.0,2023-10-26 20:15:00+00:00,2023-10-26 20:15:00+00:00,0
1698351600,0.2,542,30.0,2023-10-26 20:20:00+00:00,2023-10-26 20:20:00+00:00,0
1698351900,0.2,542,30.0,2023-10-26 20:25:00+00:00,2023-10-26 20:25:00+00:00,0
1698352200,0.0,542,30.0,2023-10-26 20:30:00+00:00,2023-10-26 20:30:00+00:00,0
1698352500,0.0,542,30.0,2023-10-26 20:35:00+00:00,2023-10-26 20:35:00+00:00,0
1698352800,0.0,542,31.0,2023-10-26 20:40:00+00:00,2023-10-26 20:40:00+00:00,0
1698353100,0.4,542,31.0,2023-10-26 20:45:00+00:00,2023-10-26 20:45:00+00:00,0
1698353400,0.0,542,28.0,2023-10-26 20:50:00+00:00,2023-10-26 20:50:00+00:00,0
1698353700,0.0,542,28.0,2023-10-26 20:55:00+00:00,2023-10-26 20:55:00+00:00,0
1698354000,,542,26.0,2023-10-26 21:00:00+00:00,2023-10-26 21:00:00+00:00,0
1698354300,,542,26.0,2023-10-26 21:05:00+00:00,2023-10-26 21:05:00+00:00,0
1698354600,,540,25.0,2023-10-26 21:10:00+00:00,2023-10-26 21:10:00+00:00,0
1698354900,,540,25.0,2023-10-26 21:15:00+00:00,2023-10-26 21:15:00+00:00,0
1698355200,,540,27.0,2023-10-26 21:20:00+00:00,2023-10-26 21:20:00+00:00,0
1698355500,0.6,540,27.0,2023-10-26 21:25:00+00:00,2023-10-26 21:25:00+00:00,0
1698355800,0.2,544,32.0,2023-10-26 21:30:00+00:00,2023-10-26 21:30:00+00:00,0
1698356100,0.2,540,32.0,2023-10-26 21:35:00+00:00,2023-10-26 21:35:00+00:00,0
1698356400,0.0,540,33.0,2023-10-26 21:40:00+00:00,2023-10-26 21:40:00+00:00,0
1698356700,0.0,540,33.0,2023-10-26 21:45:00+00:00,2023-10-26 21:45:00+00:00,0
1698357000,0.4,540,28.0,2023-10-26 21:50:00+00:00,2023-10-26 21:50:00+00:00,0
1698357300,0.0,540,28.0,2023-10-26 21:55:00+00:00,2023-10-26 21:55:00+00:00,0
1698357600,,540,32.0,2023-10-26 22:00:00+00:00,2023-10-26 22:00:00+00:00,0
1698357900,,540,32.0,2023-10-26 22:05:00+00:00,2023-10-26 22:05:00+00:00,0
1698358200,1.0,540,29.0,2023-10-26 22:10:00+00:00,2023-10-26 22:10:00+00:00,0
1698358500,0.2,540,29.0,2023-10-26 22:15:00+00:00,2023-10-26 22:15:00+00:00,0
1698358800,0.8,540,38.0,2023-10-26 22:20:00+00:00,2023-10-26 22:20:00+00:00,0
1698359100,0.4,540,38.0,2023-10-26 22:25:00+00:00,2023-10-26 22:25:00+00:00,0
1698359400,0.2,540,35.0,2023-10-26 22:30:00+00:00,2023-10-26 22:30:00+00:00,0
1698359700,0.0,540,35.0,2023-10-26 22:35:00+00:00,2023-10-26 22:35:00+00:00,0
1698360000,0.0,540,34.0,2023-10-26 22:40:00+00:00,2023-10-26 22:40:00+00:00,0
1698360300,0.2,540,34.0,2023-10-26 22:45:00+00:00,2023-10-26 22:45:00+00:00,0
1698360600,0.6,540,32.0,2023-10-26 22:50:00+00:00,2023-10-26 22:50:00+00:00,0
1698360900,0.4,540,32.0,2023-10-26 22:55:00+00:00,2023-10-26 22:55:00+00:00,0
1698361200,,540,21.0,2023-10-26 23:00:00+00:00,2023-10-26 23:00:00+00:00,0
1698361500,0.6666666666666666,540,21.0,2023-10-26 23:05:00+00:00,2023-10-26 23:05:00+00:00,0
1698361800,0.0,540,22.0,2023-10-26 23:10:00+00:00,2023-10-26 23:10:00+00:00,0
1698362100,0.2,539,22.0,2023-10-26 23:15:00+00:00,2023-10-26 23:15:00+00:00,0
1698362400,0.2,539,29.0,2023-10-26 23:20:00+00:00,2023-10-26 23:20:00+00:00,0
1698362700,0.2,539,29.0,2023-10-26 23:25:00+00:00,2023-10-26 23:25:00+00:00,0
1698363000,0.0,539,32.0,2023-10-26 23:30:00+00:00,2023-10-26 23:30:00+00:00,0
1698363300,0.0,539,32.0,2023-10-26 23:35:00+00:00,2023-10-26 23:35:00+00:00,0
1698363600,0.2,539,26.0,2023-10-26 23:40:00+00:00,2023-10-26 23:40:00+00:00,0
1698363900,0.0,539,26.0,2023-10-26 23:45:00+00:00,2023-10-26 23:45:00+00:00,0
1698364200,0.0,539,26.0,2023-10-26 23:50:00+00:00,2023-10-26 23:50:00+00:00,0
1698364500,0.0,539,26.0,2023-10-26 23:55:00+00:00,2023-10-26 23:55:00+00:00,0
1698364800,,539,26.0,2023-10-27 00:00:00+00:00,2023-10-27 00:00:00+00:00,0
1698365100,1.0,539,26.0,2023-10-27 00:05:00+00:00,2023-10-27 00:05:00+00:00,0
1698365400,0.2,539,26.0,2023-10-27 00:10:00+00:00,2023-10-27 00:10:00+00:00,0
1698365700,0.2,539,26.0,2023-10-27 00:15:00+00:00,2023-10-27 00:15:00+00:00,0
1698366000,0.0,539,25.0,2023-10-27 00:20:00+00:00,2023-10-27 00:20:00+00:00,0
1698366300,0.0,539,25.0,2023-10-27 00:25:00+00:00,2023-10-27 00:25:00+00:00,0
1698366600,0.0,539,28.0,2023-10-27 00:30:00+00:00,2023-10-27 00:30:00+00:00,0
1698366900,0.0,539,28.0,2023-10-27 00:35:00+00:00,2023-10-27 00:35:00+00:00,0
1698367200,0.0,539,29.0,2023-10-27 00:40:00+00:00,2023-10-27 00:40:00+00:00,0
1698367500,0.0,539,29.0,2023-10-27 00:45:00+00:00,2023-10-27 00:45:00+00:00,0
1698367800,0.0,539,32.0,2023-10-27 00:50:00+00:00,2023-10-27 00:50:00+00:00,0
1698368100,0.0,539,32.0,2023-10-27 00:55:00+00:00,2023-10-27 00:55:00+00:00,0
1698368400,,539,26.0,2023-10-27 01:00:00+00:00,2023-10-27 01:00:00+00:00,0
1698368700,0.2,539,26.0,2023-10-27 01:05:00+00:00,2023-10-27 01:05:00+00:00,0
1698369000,0.0,539,28.0,2023-10-27 01:10:00+00:00,2023-10-27 01:10:00+00:00,0
1698369300,0.0,539,28.0,2023-10-27 01:15:00+00:00,2023-10-27 01:15:00+00:00,0
1698369600,0.0,539,31.0,2023-10-27 01:20:00+00:00,2023-10-27 01:20:00+00:00,0
1698369900,0.0,539,31.0,2023-10-27 01:25:00+00:00,2023-10-27 01:25:00+00:00,0
1698370200,0.2,539,25.0,2023-10-27 01:30:00+00:00,2023-10-27 01:30:00+00:00,0
1698370500,0.0,539,25.0,2023-10-27 01:35:00+00:00,2023-10-27 01:35:00+00:00,0
1698370800,0.0,539,31.0,2023-10-27 01:40:00+00:00,2023-10-27 01:40:00+00:00,0
1698371100,0.2,539,31.0,2023-10-27 01:45:00+00:00,2023-10-27 01:45:00+00:00,0
1698371400,0.2,540,32.0,2023-10-27 01:50:00+00:00,2023-10-27 01:50:00+00:00,0
1698371700,0.0,540,32.0,2023-10-27 01:55:00+00:00,2023-10-27 01:55:00+00:00,0
1698372000,0.2,540,23.0,2023-10-27 02:00:00+00:00,2023-10-27 02:00:00+00:00,0
1698372300,0.0,540,23.0,2023-10-27 02:05:00+00:00,2023-10-27 02:05:00+00:00,0
1698372600,0.0,540,26.0,2023-10-27 02:10:00+00:00,2023-10-27 02:10:00+00:00,0
1698372900,0.0,540,26.0,2023-10-27 02:15:00+00:00,2023-10-27 02:15:00+00:00,0
1698373200,0.0,540,27.0,2023-10-27 02:20:00+00:00,2023-10-27 02:20:00+00:00,0
1698373500,0.0,540,27.0,2023-10-27 02:25:00+00:00,2023-10-27 02:25:00+00:00,0
1698373800,0.0,540,23.0,2023-10-27 02:30:00+00:00,2023-10-27 02:30:00+00:00,0
1698374100,0.0,540,23.0,2023-10-27 02:35:00+00:00,2023-10-27 02:35:00+00:00,0
1698374400,0.0,540,21.0,2023-10-27 02:40:00+00:00,2023-10-27 02:40:00+00:00,0
1698374700,0.0,540,21.0,2023-10-27 02:45:00+00:00,2023-10-27 02:45:00+00:00,0
1698375000,0.2,540,23.0,2023-10-27 02:50:00+00:00,2023-10-27 02:50:00+00:00,0
1698375300,0.0,540,23.0,2023-10-27 02:55:00+00:00,2023-10-27 02:55:00+00:00,0
1698375600,,540,24.0,2023-10-27 03:00:00+00:00,2023-10-27 03:00:00+00:00,0
1698375900,0.5,540,24.0,2023-10-27 03:05:00+00:00,2023-10-27 03:05:00+00:00,0
1698376200,0.2,540,25.0,2023-10-27 03:10:00+00:00,2023-10-27 03:10:00+00:00,0
1698376500,0.0,540,25.0,2023-10-27 03:15:00+00:00,2023-10-27 03:15:00+00:00,0
1698376800,0.2,540,28.0,2023-10-27 03:20:00+00:00,2023-10-27 03:20:00+00:00,0
1698377100,0.2,540,28.0,2023-10-27 03:25:00+00:00,2023-10-27 03:25:00+00:00,0
1698377400,0.0,542,22.0,2023-10-27 03:30:00+00:00,2023-10-27 03:30:00+00:00,0
1698377700,0.0,542,22.0,2023-10-27 03:35:00+00:00,2023-10-27 03:35:00+00:00,0
1698378000,0.4,542,26.0,2023-10-27 03:40:00+00:00,2023-10-27 03:40:00+00:00,0
1698378300,0.0,542,26.0,2023-10-27 03:45:00+00:00,2023-10-27 03:45:00+00:00,0
1698378600,0.0,542,28.0,2023-10-27 03:50:00+00:00,2023-10-27 03:50:00+00:00,0
1698378900,0.0,540,28.0,2023-10-27 03:55:00+00:00,2023-10-27 03:55:00+00:00,0
1698379200,,540,24.0,2023-10-27 04:00:00+00:00,2023-10-27 04:00:00+00:00,0
1698379500,1.0,540,24.0,2023-10-27 04:05:00+00:00,2023-10-27 04:05:00+00:00,0
1698379800,0.0,540,26.0,2023-10-27 04:10:00+00:00,2023-10-27 04:10:00+00:00,0
1698380100,0.0,540,26.0,2023-10-27 04:15:00+00:00,2023-10-27 04:15:00+00:00,0
1698380400,0.0,540,29.0,2023-10-27 04:20:00+00:00,2023-10-27 04:20:00+00:00,0
1698380700,0.4,542,29.0,2023-10-27 04:25:00+00:00,2023-10-27 04:25:00+00:00,0
1698381000,0.4,542,35.0,2023-10-27 04:30:00+00:00,2023-10-27 04:30:00+00:00,0
1698381300,0.2,540,35.0,2023-10-27 04:35:00+00:00,2023-10-27 04:35:00+00:00,0
1698381600,0.2,540,28.0,2023-10-27 04:40:00+00:00,2023-10-27 04:40:00+00:00,0
1698381900,0.2,540,28.0,2023-10-27 04:45:00+00:00,2023-10-27 04:45:00+00:00,0
1698382200,0.4,540,26.0,2023-10-27 04:50:00+00:00,2023-10-27 04:50:00+00:00,0
1698382500,0.4,542,26.0,2023-10-27 04:55:00+00:00,2023-10-27 04:55:00+00:00,0
1698382800,,542,32.0,2023-10-27 05:00:00+00:00,2023-10-27 05:00:00+00:00,0
1698383100,,542,32.0,2023-10-27 05:05:00+00:00,2023-10-27 05:05:00+00:00,0
1698383400,,542,28.0,2023-10-27 05:10:00+00:00,2023-10-27 05:10:00+00:00,0
1698383700,0.5,542,28.0,2023-10-27 05:15:00+00:00,2023-10-27 05:15:00+00:00,0
1698384000,0.4,542,30.0,2023-10-27 05:20:00+00:00,2023-10-27 05:20:00+00:00,0
1698384300,0.2,542,30.0,2023-10-27 05:25:00+00:00,2023-10-27 05:25:00+00:00,0
1698384600,0.2,542,27.0,2023-10-27 05:30:00+00:00,2023-10-27 05:30:00+00:00,0
1698384900,0.0,542,27.0,2023-10-27 05:35:00+00:00,2023-10-27 05:35:00+00:00,0
1698385200,0.2,543,29.0,2023-10-27 05:40:00+00:00,2023-10-27 05:40:00+00:00,0
1698385500,0.0,543,29.0,2023-10-27 05:45:00+00:00,2023-10-27 05:45:00+00:00,0
1698385800,0.4,543,28.0,2023-10-27 05:50:00+00:00,2023-10-27 05:50:00+00:00,0
