timestamp,merit-nt,bgp,ping-slash24,datetime,DATETIME,LABEL
1647855000,1.0,670,380.0,2022-03-21 09:30:00+00:00,2022-03-21 09:30:00+00:00,0
1647855300,0.8,670,380.0,2022-03-21 09:35:00+00:00,2022-03-21 09:35:00+00:00,0
1647855600,0.8,670,387.0,2022-03-21 09:40:00+00:00,2022-03-21 09:40:00+00:00,0
1647855900,1.2,670,387.0,2022-03-21 09:45:00+00:00,2022-03-21 09:45:00+00:00,0
1647856200,0.8,670,387.0,2022-03-21 09:50:00+00:00,2022-03-21 09:50:00+00:00,0
1647856500,1.2,670,387.0,2022-03-21 09:55:00+00:00,2022-03-21 09:55:00+00:00,0
1647856800,1.75,670,391.0,2022-03-21 10:00:00+00:00,2022-03-21 10:00:00+00:00,0
1647857100,0.6,670,391.0,2022-03-21 10:05:00+00:00,2022-03-21 10:05:00+00:00,0
1647857400,0.4,670,393.0,2022-03-21 10:10:00+00:00,2022-03-21 10:10:00+00:00,0
1647857700,1.0,670,393.0,2022-03-21 10:15:00+00:00,2022-03-21 10:15:00+00:00,0
1647858000,0.4,670,381.0,2022-03-21 10:20:00+00:00,2022-03-21 10:20:00+00:00,0
1647858300,0.2,670,381.0,2022-03-21 10:25:00+00:00,2022-03-21 10:25:00+00:00,0
1647858600,0.4,670,392.0,2022-03-21 10:30:00+00:00,2022-03-21 10:30:00+00:00,0
1647858900,0.0,670,392.0,2022-03-21 10:35:00+00:00,2022-03-21 10:35:00+00:00,0
1647859200,0.8,670,386.0,2022-03-21 10:40:00+00:00,2022-03-21 10:40:00+00:00,0
1647859500,1.0,670,386.0,2022-03-21 10:45:00+00:00,2022-03-21 10:45:00+00:00,0
1647859800,1.0,670,392.0,2022-03-21 10:50:00+00:00,2022-03-21 10:50:00+00:00,0
1647860100,0.8,670,392.0,2022-03-21 10:55:00+00:00,2022-03-21 10:55:00+00:00,0
1647860400,0.8,670,393.0,2022-03-21 11:00:00+00:00,2022-03-21 11:00:00+00:00,0
1647860700,0.8,670,393.0,2022-03-21 11:05:00+00:00,2022-03-21 11:05:00+00:00,0
1647861000,1.0,670,394.0,2022-03-21 11:10:00+00:00,2022-03-21 11:10:00+00:00,0
1647861300,1.4,670,394.0,2022-03-21 11:15:00+00:00,2022-03-21 11:15:00+00:00,0
1647861600,1.0,670,391.0,2022-03-21 11:20:00+00:00,2022-03-21 11:20:00+00:00,0
1647861900,1.0,670,391.0,2022-03-21 11:25:00+00:00,2022-03-21 11:25:00+00:00,0
1647862200,1.6,670,397.0,2022-03-21 11:30:00+00:00,2022-03-21 11:30:00+00:00,0
1647862500,1.0,670,397.0,2022-03-21 11:35:00+00:00,2022-03-21 11:35:00+00:00,0
1647862800,1.0,670,384.0,2022-03-21 11:40:00+00:00,2022-03-21 11:40:00+00:00,0
1647863100,0.8,670,384.0,2022-03-21 11:45:00+00:00,2022-03-21 11:45:00+00:00,0
1647863400,0.6,670,329.0,2022-03-21 11:50:00+00:00,2022-03-21 11:50:00+00:00,0
1647863700,1.2,670,329.0,2022-03-21 11:55:00+00:00,2022-03-21 11:55:00+00:00,0
1647864000,0.75,670,321.0,2022-03-21 12:00:00+00:00,2022-03-21 12:00:00+00:00,0
1647864300,0.2,670,321.0,2022-03-21 12:05:00+00:00,2022-03-21 12:05:00+00:00,0
1647864600,1.0,670,359.0,2022-03-21 12:10:00+00:00,2022-03-21 12:10:00+00:00,0
1647864900,1.4,670,359.0,2022-03-21 12:15:00+00:00,2022-03-21 12:15:00+00:00,0
1647865200,1.2,670,373.0,2022-03-21 12:20:00+00:00,2022-03-21 12:20:00+00:00,0
1647865500,0.8,670,373.0,2022-03-21 12:25:00+00:00,2022-03-21 12:25:00+00:00,0
1647865800,0.8,670,385.0,2022-03-21 12:30:00+00:00,2022-03-21 12:30:00+00:00,0
1647866100,1.2,670,385.0,2022-03-21 12:35:00+00:00,2022-03-21 12:35:00+00:00,0
1647866400,1.0,670,376.0,2022-03-21 12:40:00+00:00,2022-03-21 12:40:00+00:00,0
1647866700,0.6,670,376.0,2022-03-21 12:45:00+00:00,2022-03-21 12:45:00+00:00,0
1647867000,1.6,670,361.0,2022-03-21 12:50:00+00:00,2022-03-21 12:50:00+00:00,0
1647867300,0.8,670,361.0,2022-03-21 12:55:00+00:00,2022-03-21 12:55:00+00:00,0
1647867600,1.2,670,376.0,2022-03-21 13:00:00+00:00,2022-03-21 13:00:00+00:00,0
